Iteration	1	2	3	4	5	6	7	8	9	10	11
1	0.86031719	0.98152523	0.85134573	0.42005965	0.76023567	0.73147079	0.27408494	0.98317402	0.58393705	0.63564044	0.96970704
2	0.86031719	0.99748305	0.85134573	0.42005965	0.76023567	0.73147079	0.27408494	0.98317402	0.58393705	0.63564044	0.96970704
3	0.86031719	0.99748305	0.97679298	0.42005965	0.76023567	0.73147079	0.27408494	0.98317402	0.58393705	0.63564044	0.96970704
4	0.86031719	0.99748305	0.97679298	0.97621621	0.76023567	0.73147079	0.27408494	0.98317402	0.58393705	0.63564044	0.96970704
5	0.86031719	0.99748305	0.97679298	0.97621621	0.96423688	0.73147079	0.27408494	0.98317402	0.58393705	0.63564044	0.96970704
6	0.86031719	0.99748305	0.97679298	0.97621621	0.96423688	0.98764292	0.27408494	0.98317402	0.58393705	0.63564044	0.96970704
7	0.86031719	0.99748305	0.97679298	0.97621621	0.96423688	0.98764292	0.99739343	0.98317402	0.58393705	0.63564044	0.96970704
8	0.86031719	0.99748305	0.97679298	0.97621621	0.96423688	0.98764292	0.99739343	0.99281774	0.58393705	0.63564044	0.96970704
9	0.86031719	0.99748305	0.97679298	0.97621621	0.96423688	0.98764292	0.99739343	0.99281774	0.96551424	0.63564044	0.96970704
10	0.86031719	0.99748305	0.97679298	0.97621621	0.96423688	0.98764292	0.99739343	0.99281774	0.96551424	0.80664014	0.96970704
11	0.86031719	0.99748305	0.97679298	0.97621621	0.96423688	0.98764292	0.99739343	0.99281774	0.96551424	0.80664014	0.99372313
12	0.86031719	0.99748305	0.97679298	0.97621621	0.96423688	0.98764292	0.99739343	0.99281774	0.96551424	0.80664014	0.99372313
13	0.86031719	0.99748305	0.97679298	0.97621621	0.96423688	0.98764292	0.99739343	0.99281774	0.96551424	0.80664014	0.99372313
14	0.86031719	0.99748305	0.98287381	0.97621621	0.96423688	0.98764292	0.99739343	0.99281774	0.96551424	0.80664014	0.99372313
15	0.86031719	0.99748305	0.98287381	0.98897884	0.96423688	0.98764292	0.99739343	0.99281774	0.96551424	0.80664014	0.99372313
16	0.86031719	0.99748305	0.98287381	0.98897884	0.98319893	0.98764292	0.99739343	0.99281774	0.96551424	0.80664014	0.99372313
17	0.86031719	0.99748305	0.98287381	0.98897884	0.98319893	0.98764292	0.99739343	0.99281774	0.96551424	0.80664014	0.99372313
18	0.86031719	0.99748305	0.98287381	0.98897884	0.98319893	0.98764292	0.99739343	0.99281774	0.96551424	0.80664014	0.99372313
19	0.86031719	0.99748305	0.98287381	0.98897884	0.98319893	0.98764292	0.99739343	0.99536493	0.96551424	0.80664014	0.99372313
20	0.86031719	0.99748305	0.98287381	0.98897884	0.98319893	0.98764292	0.99739343	0.99536493	0.96551424	0.80664014	0.99372313
21	0.86031719	0.99748305	0.98287381	0.98897884	0.98319893	0.98764292	0.99739343	0.99536493	0.96551424	0.82927816	0.99372313
22	0.86031719	0.99748305	0.98287381	0.98897884	0.98319893	0.98764292	0.99739343	0.99536493	0.96551424	0.82927816	0.99441165
23	0.93003731	0.99748305	0.98287381	0.98897884	0.98319893	0.98764292	0.99739343	0.99536493	0.96551424	0.82927816	0.99441165
24	0.93003731	0.99748305	0.98287381	0.98897884	0.98319893	0.98764292	0.99739343	0.99536493	0.96551424	0.82927816	0.99441165
25	0.93003731	0.99748305	0.98287381	0.98897884	0.98319893	0.98764292	0.99739343	0.99536493	0.96551424	0.82927816	0.99441165
26	0.93003731	0.99748305	0.98287381	0.98949927	0.98319893	0.98764292	0.99739343	0.99536493	0.96551424	0.82927816	0.99441165
27	0.93003731	0.99748305	0.98287381	0.98949927	0.99279327	0.98764292	0.99739343	0.99536493	0.96551424	0.82927816	0.99441165
